Donor_ID,Cell_Type,LV_Batch,MOI,Enhancer,Replicate,Percent_GFP_Positive,Cell_Viability_Post_Transduction,Vector_Copy_Number_per_Cell
D2,Primary Human HSPCs,LV_B,10,Vpx-LP,1,59.1,82.25,1.23
D2,Primary Human HSPCs,LV_B,10,Vpx-LP,2,50.38,79.59,1.19
D2,Primary Human HSPCs,LV_B,20,None,1,58.58,71.37,2.39
D2,Primary Human HSPCs,LV_B,20,None,2,58.82,72.23,2.42
D2,Primary Human HSPCs,LV_B,20,Polybrene,1,69.04,76.33,3.15
D2,Primary Human HSPCs,LV_B,20,Polybrene,2,66.9,72.26,2.84
D2,Primary Human HSPCs,LV_B,20,Vpx-LP,1,76.93,74.51,3.57
D2,Primary Human HSPCs,LV_B,20,Vpx-LP,2,75.07,76.16,3.13
D3,Primary Human HSPCs,LV_A,5,None,1,29.52,88.63,0.69
D3,Primary Human HSPCs,LV_A,5,None,2,26.8,83.13,0.5
D3,Primary Human HSPCs,LV_A,5,Polybrene,1,33.87,86.88,0.49
D3,Primary Human HSPCs,LV_A,5,Polybrene,2,34,86.49,0.73
D3,Primary Human HSPCs,LV_A,5,Vpx-LP,1,41.61,84.16,0.74
D3,Primary Human HSPCs,LV_A,5,Vpx-LP,2,40.57,85.51,0.59
D3,Primary Human HSPCs,LV_A,10,None,1,38.31,83.72,1.18
D3,Primary Human HSPCs,LV_A,10,None,2,40.34,82.09,1.1
D3,Primary Human HSPCs,LV_A,10,Polybrene,1,43.29,82.91,0.97
D3,Primary Human HSPCs,LV_A,10,Polybrene,2,44.71,79.2,1.36
D3,Primary Human HSPCs,LV_A,10,Vpx-LP,1,57.46,79.07,1.6
D3,Primary Human HSPCs,LV_A,10,Vpx-LP,2,53.24,81.87,1.07
D3,Primary Human HSPCs,LV_A,20,None,1,60.48,73.57,2.61
D3,Primary Human HSPCs,LV_A,20,None,2,61.17,74.74,2.77
D3,Primary Human HSPCs,LV_A,20,Polybrene,1,72.05,75.18,3.22
D3,Primary Human HSPCs,LV_A,20,Polybrene,2,64.11,73.81,2.87
D3,Primary Human HSPCs,LV_A,20,Vpx-LP,1,78.01,72.25,3.22
D3,Primary Human HSPCs,LV_A,20,Vpx-LP,2,76.46,72.75,3.22
D3,Primary Human HSPCs,LV_B,5,None,1,27.66,84.52,0.64
D3,Primary Human HSPCs,LV_B,5,None,2,33.6,84.3,0.78
D3,Primary Human HSPCs,LV_B,5,Polybrene,1,34.82,88.91,0.84
D3,Primary Human HSPCs,LV_B,5,Polybrene,2,35.47,83.91,0.7
D3,Primary Human HSPCs,LV_B,5,Vpx-LP,1,49.16,87.24,0.72
D3,Primary Human HSPCs,LV_B,5,Vpx-LP,2,44.16,87.02,0.81
D3,Primary Human HSPCs,LV_B,10,None,1,37.08,80.73,0.77
D3,Primary Human HSPCs,LV_B,10,None,2,36.91,82.92,0.99
D3,Primary Human HSPCs,LV_B,10,Polybrene,1,45.04,83.15,1.1
D3,Primary Human HSPCs,LV_B,10,Polybrene,2,49.4,81.05,1.44
D3,Primary Human HSPCs,LV_B,10,Vpx-LP,1,57.1,80.82,1.33
D3,Primary Human HSPCs,LV_B,10,Vpx-LP,2,51.34,79.5,1.39
D3,Primary Human HSPCs,LV_B,20,None,1,57.45,74.16,2.37
D3,Primary Human HSPCs,LV_B,20,None,2,64.49,73.78,2.73
D3,Primary Human HSPCs,LV_B,20,Polybrene,1,64.32,73.03,2.73
D3,Primary Human HSPCs,LV_B,20,Polybrene,2,65.82,73.89,3.03
D3,Primary Human HSPCs,LV_B,20,Vpx-LP,1,73,75.73,3.41
D3,Primary Human HSPCs,LV_B,20,Vpx-LP,2,77.03,71.38,3.45
D4,Primary Human HSPCs,LV_A,5,None,1,31.26,83.26,0.59
D4,Primary Human HSPCs,LV_A,5,None,2,32.75,87.8,0.68
D4,Primary Human HSPCs,LV_A,5,Polybrene,1,37.71,87.72,0.73
D4,Primary Human HSPCs,LV_A,5,Polybrene,2,39.92,84.92,0.52
D4,Primary Human HSPCs,LV_A,5,Vpx-LP,1,43.75,85.71,0.78
D4,Primary Human HSPCs,LV_A,5,Vpx-LP,2,40.03,86.58,0.45
D4,Primary Human HSPCs,LV_A,10,None,1,44.75,82.38,1.32
D4,Primary Human HSPCs,LV_A,10,None,2,37.96,83.87,0.98
D4,Primary Human HSPCs,LV_A,10,Polybrene,1,48.18,83.98,1.01
D4,Primary Human HSPCs,LV_A,10,Polybrene,2,52.12,80.54,1.43
D4,Primary Human HSPCs,LV_A,10,Vpx-LP,1,54.61,84.85,1.41
D4,Primary Human HSPCs,LV_A,10,Vpx-LP,2,54.43,80.05,1.38
D4,Primary Human HSPCs,LV_A,20,None,1,56.68,71.64,2.45
D4,Primary Human HSPCs,LV_A,20,None,2,55.94,76.64,2.55
D4,Primary Human HSPCs,LV_A,20,Polybrene,1,71.64,76.14,3.05
D4,Primary Human HSPCs,LV_A,20,Polybrene,2,68.3,76.6,2.83
D4,Primary Human HSPCs,LV_A,20,Vpx-LP,1,79.36,76.52,3.63
D4,Primary Human HSPCs,LV_A,20,Vpx-LP,2,78.27,71.08,3.35
D4,Primary Human HSPCs,LV_B,5,None,1,27.77,84.82,0.36
D4,Primary Human HSPCs,LV_B,5,None,2,30.8,84.34,0.8
D4,Primary Human HSPCs,LV_B,5,Polybrene,1,39.38,84.68,0.51
D4,Primary Human HSPCs,LV_B,5,Polybrene,2,38.96,87.25,0.53
D4,Primary Human HSPCs,LV_B,5,Vpx-LP,1,45.99,85.73,0.48
D4,Primary Human HSPCs,LV_B,5,Vpx-LP,2,45.29,87.57,0.93
D4,Primary Human HSPCs,LV_B,10,None,1,43.48,80.51,0.97
D4,Primary Human HSPCs,LV_B,10,None,2,36.32,80.66,0.75
D4,Primary Human HSPCs,LV_B,10,Polybrene,1,43.78,84.5,0.89
D4,Primary Human HSPCs,LV_B,10,Polybrene,2,48.24,79.22,1.04
D4,Primary Human HSPCs,LV_B,10,Vpx-LP,1,56.07,84.93,1.47
D4,Primary Human HSPCs,LV_B,10,Vpx-LP,2,59.94,80.81,1.46
D4,Primary Human HSPCs,LV_B,20,None,1,57.39,71.99,2.3
D4,Primary Human HSPCs,LV_B,20,None,2,56.38,72.2,2.28
D4,Primary Human HSPCs,LV_B,20,Polybrene,1,63.04,71.15,2.92
D4,Primary Human HSPCs,LV_B,20,Polybrene,2,67.87,74.78,3.2
D4,Primary Human HSPCs,LV_B,20,Vpx-LP,1,70.99,73.48,2.87
D4,Primary Human HSPCs,LV_B,20,Vpx-LP,2,77.12,72.54,3.1
D5,Primary Human HSPCs,LV_A,5,None,1,26.28,84.13,0.69
D5,Primary Human HSPCs,LV_A,5,None,2,32.93,83.19,0.38
D5,Primary Human HSPCs,LV_A,5,Polybrene,1,35.83,84.67,0.83
D5,Primary Human HSPCs,LV_A,5,Polybrene,2,42.95,83.93,0.57
D5,Primary Human HSPCs,LV_A,5,Vpx-LP,1,47.02,85.07,0.96
D5,Primary Human HSPCs,LV_A,5,Vpx-LP,2,48.78,83.2,0.92
D5,Primary Human HSPCs,LV_A,10,None,1,42.67,81.28,1.31
D5,Primary Human HSPCs,LV_A,10,None,2,41.37,83.45,0.93
D5,Primary Human HSPCs,LV_A,10,Polybrene,1,50.37,79.3,1.36
D5,Primary Human HSPCs,LV_A,10,Polybrene,2,48.69,81.1,1.23
D5,Primary Human HSPCs,LV_A,10,Vpx-LP,1,51.44,79.98,1.43
D5,Primary Human HSPCs,LV_A,10,Vpx-LP,2,54.77,79.16,1.49
D5,Primary Human HSPCs,LV_A,20,None,1,64.2,72.38,2.89
D5,Primary Human HSPCs,LV_A,20,None,2,63.26,74.85,2.53
D5,Primary Human HSPCs,LV_A,20,Polybrene,1,64.83,73.76,2.62
D5,Primary Human HSPCs,LV_A,20,Polybrene,2,67.24,75.56,2.77
D5,Primary Human HSPCs,LV_A,20,Vpx-LP,1,76.3,72.8,3.42
D5,Primary Human HSPCs,LV_A,20,Vpx-LP,2,78.45,73.96,3.21
D5,Primary Human HSPCs,LV_B,5,None,1,28.57,88.62,0.41
D5,Primary Human HSPCs,LV_B,5,None,2,33.42,87.29,0.7
D5,Primary Human HSPCs,LV_B,5,Polybrene,1,40.28,85.27,0.84
D5,Primary Human HSPCs,LV_B,5,Polybrene,2,36.4,83.82,0.75
D5,Primary Human HSPCs,LV_B,5,Vpx-LP,1,44.75,88.93,0.86
D5,Primary Human HSPCs,LV_B,5,Vpx-LP,2,49.94,86.06,0.83
D5,Primary Human HSPCs,LV_B,10,None,1,42.43,80.35,1.2
D5,Primary Human HSPCs,LV_B,10,None,2,42.25,84.08,0.89
D5,Primary Human HSPCs,LV_B,10,Polybrene,1,48.24,82.45,1.1
D5,Primary Human HSPCs,LV_B,10,Polybrene,2,44.38,84.1,1.27
D5,Primary Human HSPCs,LV_B,10,Vpx-LP,1,54.41,82.47,1.33
D5,Primary Human HSPCs,LV_B,10,Vpx-LP,2,59.31,79.6,1.58
D5,Primary Human HSPCs,LV_B,20,None,1,64.08,75.57,2.78
D5,Primary Human HSPCs,LV_B,20,None,2,60.61,71.97,2.66
D5,Primary Human HSPCs,LV_B,20,Polybrene,1,67.67,75.79,2.81
D5,Primary Human HSPCs,LV_B,20,Polybrene,2,72.95,75.04,3.32
D5,Primary Human HSPCs,LV_B,20,Vpx-LP,1,73.21,71.8,3.36
D5,Primary Human HSPCs,LV_B,20,Vpx-LP,2,72.59,74.79,3.08
